time_start,time_end,Source,Target
7280,7300,1157,1191
7300,7320,1157,1191
7320,7340,1157,1191
7400,7420,1157,1191
7420,7440,1157,1191
7440,7460,1157,1191
7460,7480,1157,1191
7480,7500,1157,1191
7500,7520,1157,1191
7520,7540,1157,1191
7540,7560,1157,1191
7560,7580,1157,1191
7580,7600,1157,1191
7600,7620,1157,1191
7620,7640,1157,1191
7640,7660,1157,1191
7660,7680,1157,1191
7680,7700,1157,1191
7700,7720,1157,1191
7720,7740,1157,1191
7740,7760,1157,1191
7760,7780,1157,1191
7780,7800,1157,1191
7800,7820,1157,1191
7820,7840,1157,1191
7840,7860,1157,1191
7860,7880,1157,1191
7880,7900,1157,1191
7900,7920,1157,1191
7920,7940,1157,1191
7940,7960,1157,1191
7960,7980,1098,1191
7980,8000,1098,1191
7980,8000,1157,1191
7980,8000,1098,1157
8000,8020,1114,1191
8020,8040,1114,1191
8040,8060,1114,1191
8040,8060,1179,1191
8040,8060,1157,1168
8060,8080,1098,1191
8060,8080,1098,1196
8060,8080,1114,1191
8060,8080,1157,1168
8080,8100,1152,1191
8160,8180,1157,1191
8180,8200,1152,1191
8200,8220,1157,1191
8200,8220,1152,1191
8240,8260,1157,1191
8280,8300,1152,1157
8280,8300,1157,1191
8280,8300,1152,1191
8300,8320,1114,1152
8440,8460,1157,1191
8460,8480,1152,1157
8460,8480,1157,1191
8480,8500,1157,1191
8500,8520,1157,1191
8540,8560,1157,1191
8540,8560,1152,1191
8740,8760,1193,1196
8860,8880,1193,1196
8880,8900,1193,1196
8900,8920,1193,1196
9040,9060,1114,1179
9060,9080,1116,1179
9060,9080,1114,1179
9080,9100,1114,1179
9120,9140,1179,1365
9180,9200,1144,1157
9180,9200,1152,1157
9180,9200,1193,1196
9200,9220,1152,1191
9220,9240,1144,1191
9220,9240,1144,1157
9220,9240,1193,1196
9220,9240,1152,1191
9240,9260,1144,1191
9240,9260,1144,1157
9240,9260,1157,1191
9240,9260,1152,1191
9260,9280,1144,1157
9260,9280,1193,1196
9260,9280,1157,1191
9260,9280,1152,1191
9280,9300,1193,1365
9280,9300,1144,1157
9280,9300,1179,1320
9280,9300,1152,1191
9300,9320,1144,1157
9300,9320,1179,1365
9320,9340,1193,1365
9320,9340,1114,1116
9320,9340,1144,1157
9320,9340,1193,1196
9340,9360,1114,1191
9340,9360,1179,1191
9360,9380,1114,1191
9380,9400,1114,1191
9400,9420,1144,1157
9400,9420,1179,1193
9420,9440,1144,1157
9440,9460,1144,1157
9440,9460,1114,1191
9460,9480,1193,1196
9460,9480,1179,1365
9480,9500,1144,1157
9480,9500,1193,1196
9480,9500,1179,1365
9500,9520,1144,1157
9500,9520,1179,1365
9520,9540,1179,1365
9540,9560,1179,1365
9560,9580,1144,1157
9560,9580,1179,1365
9580,9600,1179,1365
9600,9620,1144,1157
9600,9620,1152,1157
9600,9620,1179,1365
9620,9640,1144,1157
9620,9640,1152,1157
9620,9640,1179,1365
9640,9660,1179,1365
9660,9680,1179,1365
9680,9700,1179,1365
9700,9720,1179,1365
9720,9740,1144,1157
9720,9740,1193,1196
9720,9740,1152,1191
9720,9740,1179,1365
9740,9760,1144,1157
9740,9760,1193,1196
9740,9760,1152,1191
9740,9760,1179,1365
9760,9780,1144,1157
9760,9780,1152,1191
9760,9780,1179,1365
9780,9800,1144,1157
9780,9800,1152,1191
9780,9800,1179,1365
9800,9820,1152,1191
9800,9820,1179,1365
9840,9860,1152,1191
9860,9880,1152,1191
9880,9900,1193,1196
9880,9900,1152,1191
9900,9920,1098,1191
9900,9920,1193,1196
9900,9920,1152,1191
9920,9940,1193,1196
9920,9940,1152,1191
9940,9960,1152,1191
9940,9960,1179,1365
9960,9980,1193,1196
9960,9980,1179,1365
9980,10000,1193,1196
9980,10000,1152,1191
10000,10020,1193,1196
10000,10020,1152,1191
10020,10040,1193,1196
10020,10040,1152,1191
10040,10060,1193,1196
10060,10080,1193,1196
10060,10080,1168,1191
10080,10100,1193,1196
10080,10100,1168,1191
10100,10120,1193,1196
10120,10140,1193,1196
10120,10140,1157,1191
10140,10160,1193,1196
10160,10180,1193,1196
10160,10180,1157,1191
10180,10200,1193,1196
10180,10200,1098,1114
10180,10200,1157,1191
10200,10220,1144,1191
10200,10220,1144,1157
10200,10220,1193,1196
10220,10240,1144,1191
10240,10260,1144,1191
10240,10260,1144,1157
10240,10260,1193,1196
10260,10280,1144,1191
10260,10280,1193,1196
10260,10280,1157,1191
10280,10300,1144,1191
10300,10320,1193,1196
10300,10320,1098,1114
10320,10340,1144,1191
10320,10340,1193,1196
10340,10360,1144,1191
10360,10380,1144,1191
10380,10400,1144,1191
10400,10420,1144,1157
10440,10460,1144,1157
10500,10520,1144,1191
10520,10540,1144,1191
10540,10560,1098,1193
10540,10560,1144,1191
10540,10560,1114,1193
10560,10580,1098,1193
10560,10580,1098,1114
10560,10580,1114,1193
10600,10620,1098,1157
10620,10640,1098,1193
10640,10660,1193,1196
10640,10660,1157,1191
10660,10680,1157,1191
10680,10700,1157,1191
10700,10720,1157,1191
10720,10740,1157,1191
10740,10760,1157,1191
10760,10780,1157,1191
10780,10800,1157,1191
10800,10820,1157,1191
10820,10840,1157,1191
10860,10880,1157,1191
10880,10900,1157,1191
10900,10920,1157,1191
10920,10940,1193,1365
10920,10940,1157,1191
10980,11000,1157,1191
11000,11020,1157,1191
11020,11040,1157,1191
11060,11080,1157,1193
11080,11100,1098,1191
11080,11100,1157,1363
11100,11120,1191,1193
11100,11120,1157,1374
11120,11140,1191,1193
11200,11220,1193,1196
11300,11320,1157,1363
11300,11320,1168,1191
11320,11340,1157,1363
11340,11360,1157,1363
11360,11380,1157,1363
11400,11420,1157,1363
11400,11420,1152,1191
11420,11440,1152,1191
11440,11460,1152,1191
11460,11480,1152,1191
11480,11500,1152,1191
11500,11520,1157,1363
11500,11520,1152,1191
11520,11540,1157,1363
11520,11540,1152,1191
11540,11560,1152,1191
11560,11580,1152,1191
11580,11600,1152,1191
11580,11600,1168,1191
11600,11620,1152,1365
11620,11640,1152,1365
11640,11660,1157,1363
11640,11660,1152,1365
11660,11680,1157,1363
11660,11680,1152,1365
11680,11700,1152,1365
11700,11720,1157,1363
11700,11720,1152,1374
11720,11740,1152,1374
11740,11760,1157,1363
11740,11760,1152,1374
11760,11780,1152,1157
11760,11780,1152,1374
11780,11800,1157,1363
11780,11800,1152,1374
11800,11820,1152,1374
11820,11840,1157,1363
11820,11840,1152,1374
11840,11860,1157,1363
11860,11880,1157,1363
11860,11880,1152,1374
11880,11900,1157,1363
11880,11900,1152,1374
11900,11920,1157,1363
11900,11920,1152,1374
11920,11940,1152,1374
11940,11960,1152,1374
11960,11980,1152,1374
11960,11980,1144,1159
11980,12000,1152,1374
11980,12000,1144,1159
12000,12020,1152,1374
12020,12040,1157,1363
12020,12040,1144,1191
12020,12040,1152,1374
12040,12060,1157,1363
12040,12060,1144,1191
12060,12080,1144,1191
12060,12080,1152,1374
12080,12100,1144,1191
12080,12100,1152,1374
12100,12120,1152,1374
12120,12140,1157,1363
12120,12140,1152,1374
12140,12160,1152,1374
12160,12180,1157,1363
12180,12200,1144,1191
12180,12200,1152,1374
12200,12220,1152,1374
12220,12240,1152,1374
12240,12260,1157,1363
12240,12260,1152,1374
12260,12280,1157,1363
12260,12280,1152,1374
12280,12300,1157,1363
12280,12300,1152,1374
12300,12320,1157,1363
12300,12320,1152,1374
12300,12320,1144,1159
12320,12340,1152,1374
12340,12360,1144,1191
12340,12360,1193,1196
12340,12360,1152,1374
12340,12360,1159,1191
12340,12360,1144,1159
12360,12380,1144,1191
12360,12380,1152,1374
12360,12380,1144,1159
12380,12400,1152,1374
12380,12400,1144,1159
12400,12420,1152,1374
12400,12420,1116,1393
12400,12420,1144,1159
12420,12440,1152,1374
12420,12440,1116,1393
12420,12440,1144,1159
12440,12460,1179,1196
12440,12460,1152,1374
12460,12480,1152,1374
12480,12500,1152,1374
12500,12520,1144,1365
12500,12520,1144,1157
12500,12520,1152,1374
12520,12540,1144,1157
12560,12580,1157,1363
12560,12580,1157,1374
12600,12620,1157,1363
12620,12640,1152,1374
12640,12660,1152,1374
12660,12680,1152,1374
12680,12700,1157,1159
12680,12700,1152,1374
12700,12720,1157,1159
12700,12720,1152,1374
12720,12740,1157,1159
12740,12760,1157,1159
12740,12760,1152,1374
12740,12760,1144,1168
12760,12780,1157,1159
12760,12780,1152,1374
12780,12800,1157,1159
12780,12800,1152,1374
12820,12840,1152,1374
12840,12860,1152,1374
12860,12880,1190,1193
12880,12900,1152,1374
12900,12920,1152,1374
12920,12940,1152,1374
12980,13000,1190,1193
13020,13040,1144,1157
13020,13040,1152,1374
13040,13060,1152,1374
13060,13080,1152,1374
13080,13100,1152,1374
13100,13120,1152,1374
13120,13140,1152,1374
13140,13160,1152,1374
13140,13160,1144,1159
13160,13180,1179,1193
13180,13200,1179,1193
13180,13200,1152,1374
13200,13220,1179,1193
13200,13220,1152,1374
13220,13240,1179,1193
13220,13240,1152,1374
13240,13260,1179,1193
13240,13260,1152,1374
13260,13280,1179,1193
13280,13300,1157,1159
13280,13300,1152,1365
13280,13300,1179,1190
13300,13320,1152,1365
13320,13340,1193,1196
13340,13360,1144,1159
13380,13400,1193,1196
13380,13400,1179,1190
13440,13460,1179,1193
13460,13480,1179,1193
13460,13480,1116,1393
13480,13500,1179,1193
13500,13520,1179,1196
13540,13560,1179,1196
13540,13560,1116,1393
13560,13580,1179,1196
13560,13580,1179,1193
13600,13620,1179,1196
13620,13640,1098,1144
13620,13640,1179,1196
13640,13660,1098,1159
13640,13660,1179,1193
13660,13680,1098,1144
13660,13680,1179,1193
13680,13700,1179,1196
13680,13700,1179,1193
13680,13700,1144,1159
13700,13720,1179,1193
13720,13740,1179,1193
13740,13760,1179,1193
13740,13760,1144,1159
13760,13780,1179,1196
13760,13780,1179,1193
13760,13780,1116,1365
13780,13800,1179,1196
13780,13800,1116,1365
13800,13820,1116,1365
13820,13840,1152,1159
13820,13840,1179,1193
13820,13840,1116,1365
13820,13840,1159,1191
13840,13860,1179,1193
13840,13860,1116,1365
13860,13880,1179,1193
13860,13880,1116,1365
13860,13880,1179,1190
13860,13880,1144,1159
13880,13900,1179,1193
13880,13900,1116,1365
13880,13900,1144,1159
13900,13920,1152,1191
13900,13920,1179,1193
13900,13920,1116,1365
13900,13920,1179,1190
13900,13920,1144,1159
13920,13940,1152,1191
13920,13940,1179,1193
13920,13940,1179,1190
13940,13960,1152,1191
13940,13960,1179,1193
13940,13960,1116,1365
13960,13980,1152,1191
13960,13980,1179,1193
13980,14000,1152,1191
13980,14000,1179,1193
14000,14020,1179,1196
14000,14020,1152,1191
14020,14040,1152,1191
14040,14060,1152,1191
14060,14080,1152,1191
14060,14080,1152,1159
14060,14080,1159,1191
14080,14100,1152,1157
14080,14100,1152,1191
14080,14100,1144,1152
14080,14100,1159,1191
14100,14120,1152,1157
14100,14120,1157,1191
14100,14120,1152,1191
14100,14120,1159,1191
14120,14140,1144,1191
14120,14140,1152,1157
14120,14140,1152,1191
14120,14140,1144,1152
14140,14160,1144,1191
14140,14160,1152,1157
14140,14160,1152,1191
14140,14160,1144,1152
14160,14180,1144,1191
14160,14180,1144,1152
14180,14200,1144,1191
14180,14200,1152,1157
14180,14200,1152,1191
14180,14200,1144,1152
14200,14220,1144,1191
14200,14220,1152,1191
14220,14240,1144,1191
14220,14240,1152,1157
14220,14240,1193,1196
14220,14240,1152,1191
14240,14260,1144,1191
14260,14280,1144,1191
14260,14280,1152,1157
14260,14280,1152,1191
14260,14280,1159,1191
14280,14300,1152,1191
14280,14300,1159,1191
14320,14340,1159,1191
14340,14360,1159,1191
14340,14360,1144,1159
14360,14380,1144,1152
14360,14380,1152,1159
14360,14380,1179,1190
14360,14380,1144,1159
14380,14400,1144,1191
14380,14400,1144,1157
14380,14400,1190,1191
14380,14400,1179,1196
14380,14400,1157,1191
14380,14400,1144,1152
14380,14400,1152,1159
14380,14400,1179,1193
14380,14400,1159,1191
14400,14420,1144,1191
14400,14420,1144,1157
14400,14420,1157,1191
14400,14420,1152,1191
14400,14420,1159,1191
14420,14440,1157,1191
14420,14440,1159,1191
14440,14460,1144,1191
14440,14460,1157,1191
14440,14460,1159,1191
14460,14480,1144,1191
14460,14480,1157,1191
14480,14500,1144,1191
14480,14500,1157,1191
14480,14500,1144,1159
14500,14520,1144,1191
14500,14520,1157,1191
14500,14520,1159,1191
14500,14520,1144,1159
14520,14540,1144,1191
14520,14540,1157,1191
14520,14540,1159,1191
14540,14560,1144,1157
14540,14560,1159,1191
14560,14580,1144,1157
14560,14580,1193,1196
14560,14580,1159,1191
14580,14600,1144,1157
14700,14720,1144,1191
14700,14720,1157,1191
14700,14720,1159,1191
14720,14740,1144,1191
14720,14740,1157,1191
14740,14760,1144,1191
14760,14780,1144,1191
14760,14780,1168,1191
14780,14800,1144,1191
14800,14820,1144,1191
14820,14840,1144,1191
14840,14860,1144,1191
14860,14880,1144,1191
14860,14880,1168,1191
14880,14900,1144,1191
14880,14900,1168,1191
14900,14920,1168,1191
14920,14940,1144,1179
14920,14940,1168,1191
14940,14960,1168,1191
14940,14960,1159,1191
14960,14980,1159,1191
14980,15000,1159,1191
15000,15020,1159,1168
15060,15080,1193,1196
15160,15180,1098,1196
15200,15220,1098,1193
15200,15220,1193,1196
15200,15220,1098,1261
15220,15240,1098,1193
15220,15240,1193,1196
15240,15260,1098,1196
15500,15520,1098,1193
15540,15560,1098,1193
15660,15680,1116,1378
15700,15720,1144,1157
15740,15760,1144,1157
15760,15780,1157,1159
15800,15820,1116,1378
15920,15940,1157,1159
15940,15960,1157,1191
15960,15980,1157,1191
15980,16000,1157,1159
15980,16000,1157,1191
16000,16020,1191,1193
16000,16020,1159,1191
16020,16040,1157,1191
16020,16040,1159,1191
16040,16060,1157,1159
16040,16060,1157,1191
16040,16060,1159,1191
16060,16080,1159,1191
16080,16100,1159,1191
16100,16120,1159,1191
16120,16140,1159,1191
16140,16160,1190,1196
16140,16160,1159,1191
16160,16180,1159,1191
16180,16200,1159,1191
16200,16220,1179,1261
16200,16220,1159,1191
16220,16240,1196,1393
16220,16240,1159,1191
16240,16260,1190,1196
16240,16260,1159,1191
16260,16280,1196,1393
16260,16280,1159,1191
16280,16300,1190,1196
16280,16300,1159,1191
16300,16320,1159,1191
16320,16340,1196,1393
16320,16340,1190,1196
16320,16340,1116,1378
16320,16340,1179,1193
16320,16340,1159,1191
16340,16360,1196,1393
16340,16360,1098,1179
16340,16360,1159,1191
16360,16380,1190,1393
16360,16380,1159,1191
16380,16400,1190,1193
16380,16400,1159,1191
16400,16420,1193,1196
16400,16420,1159,1191
16420,16440,1159,1191
16440,16460,1193,1305
16440,16460,1190,1193
16440,16460,1159,1191
16460,16480,1193,1305
16460,16480,1157,1179
16460,16480,1159,1179
16460,16480,1098,1116
16480,16500,1157,1191
16480,16500,1190,1193
16480,16500,1159,1191
16500,16520,1190,1196
16500,16520,1190,1193
16500,16520,1159,1191
16520,16540,1190,1196
16520,16540,1190,1193
16520,16540,1196,1305
16520,16540,1159,1191
16540,16560,1190,1196
16540,16560,1190,1193
16540,16560,1159,1191
16560,16580,1190,1196
16560,16580,1179,1261
16560,16580,1190,1193
16580,16600,1098,1159
16580,16600,1144,1365
16580,16600,1190,1196
16580,16600,1196,1305
16600,16620,1098,1159
16600,16620,1190,1196
16620,16640,1190,1196
16620,16640,1098,1144
16620,16640,1190,1305
16620,16640,1190,1193
16620,16640,1196,1305
16640,16660,1098,1144
16640,16660,1190,1305
16660,16680,1193,1196
16660,16680,1098,1144
16680,16700,1098,1144
16700,16720,1159,1191
16720,16740,1193,1352
16720,16740,1193,1196
16720,16740,1190,1193
16720,16740,1159,1191
16740,16760,1144,1157
16740,16760,1179,1393
16740,16760,1159,1191
16760,16780,1144,1157
16760,16780,1193,1196
16760,16780,1179,1393
16760,16780,1159,1191
16780,16800,1144,1157
16780,16800,1159,1191
16800,16820,1144,1191
16800,16820,1144,1157
16800,16820,1193,1196
16800,16820,1159,1191
16820,16840,1144,1157
16820,16840,1193,1196
16820,16840,1190,1193
16820,16840,1159,1191
16840,16860,1144,1157
16840,16860,1193,1196
16840,16860,1159,1191
16860,16880,1193,1196
16860,16880,1159,1191
16880,16900,1144,1157
16880,16900,1193,1196
16880,16900,1159,1191
16880,16900,1144,1159
16900,16920,1193,1196
16900,16920,1261,1363
16900,16920,1190,1193
16900,16920,1159,1191
16920,16940,1193,1196
16920,16940,1261,1363
16920,16940,1190,1193
16920,16940,1159,1191
16940,16960,1190,1196
16940,16960,1193,1196
16940,16960,1159,1191
16960,16980,1193,1196
16960,16980,1159,1191
16980,17000,1144,1191
16980,17000,1193,1196
16980,17000,1159,1191
17000,17020,1144,1191
17000,17020,1190,1196
17000,17020,1193,1196
17000,17020,1190,1193
17000,17020,1159,1191
17000,17020,1144,1159
17020,17040,1144,1191
17020,17040,1190,1196
17020,17040,1193,1196
17020,17040,1190,1193
17020,17040,1159,1191
17040,17060,1144,1191
17040,17060,1193,1196
17060,17080,1144,1191
17060,17080,1193,1196
17060,17080,1159,1191
17080,17100,1144,1377
17080,17100,1193,1196
17080,17100,1190,1193
17080,17100,1159,1191
17100,17120,1193,1196
17100,17120,1190,1193
17120,17140,1190,1196
17120,17140,1193,1196
17140,17160,1193,1196
17140,17160,1190,1193
17160,17180,1193,1196
17160,17180,1168,1378
17180,17200,1193,1196
17180,17200,1261,1363
17200,17220,1193,1196
17200,17220,1159,1191
17220,17240,1193,1196
17220,17240,1159,1191
17240,17260,1159,1191
17260,17280,1190,1193
17280,17300,1168,1191
17300,17320,1193,1378
17300,17320,1193,1196
17300,17320,1196,1378
17320,17340,1193,1378
17320,17340,1193,1196
17320,17340,1190,1193
17340,17360,1193,1378
17360,17380,1190,1193
17380,17400,1190,1193
17400,17420,1190,1193
17420,17440,1190,1193
17440,17460,1159,1168
17440,17460,1190,1193
17460,17480,1159,1168
17460,17480,1190,1193
17480,17500,1261,1363
17480,17500,1190,1193
17500,17520,1190,1193
17520,17540,1190,1193
17540,17560,1130,1191
17540,17560,1190,1193
17560,17580,1148,1168
17560,17580,1130,1191
17560,17580,1190,1193
17580,17600,1148,1168
17580,17600,1130,1191
17580,17600,1190,1193
17600,17620,1148,1168
17600,17620,1130,1191
17600,17620,1190,1193
17620,17640,1148,1168
17620,17640,1130,1191
17620,17640,1190,1193
17640,17660,1130,1191
17640,17660,1190,1193
17660,17680,1190,1193
17680,17700,1148,1168
17680,17700,1190,1193
17700,17720,1130,1191
17700,17720,1190,1193
17720,17740,1130,1191
17720,17740,1190,1193
17740,17760,1261,1363
17740,17760,1130,1191
17740,17760,1190,1193
17760,17780,1261,1363
17760,17780,1130,1191
17760,17780,1190,1193
17780,17800,1190,1193
17820,17840,1193,1196
17840,17860,1193,1378
17840,17860,1190,1378
17840,17860,1193,1196
17840,17860,1190,1193
17860,17880,1193,1378
17860,17880,1261,1363
17860,17880,1190,1193
17880,17900,1193,1378
17880,17900,1144,1191
17880,17900,1261,1363
17880,17900,1130,1191
17880,17900,1190,1193
17900,17920,1193,1378
17900,17920,1144,1191
17900,17920,1193,1196
17900,17920,1148,1168
17900,17920,1130,1191
17900,17920,1190,1193
17920,17940,1148,1191
17920,17940,1130,1191
17940,17960,1148,1191
17940,17960,1144,1191
17940,17960,1196,1378
17960,17980,1144,1191
17960,17980,1193,1196
17960,17980,1196,1378
17960,17980,1148,1168
17960,17980,1190,1193
17980,18000,1144,1191
17980,18000,1148,1168
18000,18020,1144,1191
